quote;author;context;source;date
Barry Rowlingson: Your grid above has 8*6 = 42 points.<x>(That was a subtle Hitchhikers Guide To The Galaxy reference there, honest, and not a stupid dumb multiplication mistake on my part after working four 18-hour days on the trot...)<x>Peter Dalgaard: [...] Don't panic, just throw yourself at the ground and miss.;Barry Rowlingson and Peter Dalgaard;NA;R-help;March 2004
I have mentioned several times on this list that I'm in the process of developing a new and wonderful implementation of lme and I would prefer to continue working on that rather than modifying old-style code.;Douglas Bates;NA;R-help;March 2004
Ivo Welch: Thanks. I will put in a suggestion that the docs refer to q() in `see also' for `stop'.<x>Brian D. Ripley: I don't think anyone else is confusing `exit' with `stop', though. I hope you don't when driving ....;Ivo Welch and Brian D. Ripley;NA;R-help;March 2004
Before we get too carried away with this thread could you all please consider how the sd function calculates its result? [...] I'll tell you, it takes the square root of the variance. How is the variance calculated for a numeric vector? First you calculate the mean *using floating point arithmetic* in which it is not necessarily true that N * k / N == k [...] Most of those tests [for numerical accuracy] end in a check using the all.equal function which checks if the relative difference is less than a threshold. That's about the best that you can do with floating point arithmetic.<x>Here endeth the sermon.;Douglas Bates;after a discussion why sd(rep(0.001, 15)) is not necessarily exactly 0;R-help;March 2004
The keyboard is the standard Italian layout, which is missing the ~ (tilde) key. [...] Can anyone advice how to produce the ~ symbol, short of a copy/paste from MS Word?;Federico Calboli;NA;R-help;March 2004
I'd like to prefix all these solutions with `Here's how to do it, but don't actually do it you crazy fool'. It's on a par with redefining pi, or redefining '+'. And then redefining '<-'. These techniques have their proper place, and that would be in the currently non-existent obfuscated R contest.<x>No, the R-ish (iRish?) way is to index vectors from 1. That's what the R gods intended!;Barry Rowlingson;in a discussion how vectors in R could be indexed starting from 0;R-help;March 2004
I think that it's generally a good idea not to resist the most natural way of programming in R.;John Fox;NA;R-help;March 2004
For almost 40 years SAS has been the primary tool for statisticians worldwide and its easy-to-learn syntax, unsurpassed graphical system, powerful macro language and recent graphical user interfaces have made SAS the number one statistical software choice for both beginners and advanced users.;Rolf Poalis, Biostatistics Denmark;announcement of the SAS to R parser sas2R;R-help;April 1, 2004
Sorting is a wonderful topic! Especially because you can discuss different fundamental ideas like brute force, divide and conquer, and questions of efficiency, tradeoffs of space and time, etc.;Peter Wolf;NA;R-help;April 2004
"Douglas Bates: If you really want to be cautious you could use an octal representation like sep=""\\007"" to get a character that is very unlikely to occur in a factor level.<x>Ed L. Cashin: I definitely want to be cautious. Instead of the bell character I think I'll use the field separator character, ""\\034"", just because this is the first time I've been able to use it for it's intended purpose! ;)<x>Douglas Bates: Yes, but with ""\\034"" you don't get to make obscure James Bond references :-)";Douglas Bates and Ed L. Cashin;NA;R-help;April 2004
"Bret Collier: I hope this is not a uniformed question, but I am a little lost.<x>Peter Dalgaard: Don't worry, they all look alike... ;-)";Bret Collier and Peter Dalgaard;NA;R-help;April 2004
I was actually reading it with some curiosity as to how they managed to find 5 locations that were close to everyone on R-help...;Peter Dalgaard;after XL Solutions announced courses `R/Splus Programming Techniques, @ 5 locations near you!';R-help;April 2004
My preference goes with the numbering scheme attributed to a tribe on some island in the Pacific which consists of a 'factor' with four levels: 'one', 'two', 'three', and 'lots'. Hence, I'd go with 'lots of R users'.;Dirk Eddelbuettel;in a discussion about trying to estimate the number of R users;R-help;April 2004
The Huli of Papua New Guinea use '15' to mean a very large number and '15 times 15 samting (something)' to mean something close to infinity.;David Whiting;in a discussion about trying to estimate the number of R users;R-help;April 2004
It seems to me against the spirit of Open Source software to attempt to monitor distribution. We could ask R to `call home' on first use (in the way e.g. pine does) but I suspect many users would find that objectionable.;Brian D. Ripley;in a discussion about trying to estimate the number of R users;R-help;April 2004
Maybe you should contact Microsoft, and get them to modify their tools so they work on the R sources?;Duncan Murdoch;answering the question if there is a way compiling the R sources using VisualC++;R-help;April 2004
Seldom are prizes, credit, and gratitude given, else Brian would be drowning in them.;Anthony Rossini;about the merits of implementing software;R-help;May 2004
Release 1.0.0<x>(silence)<x>Wow! Thank you! [...] If I am allowed to ask just one question today: How do you fit 48 hours of coding in an ordinary day? Any hints will be appreciated ... :-);Detlef Steuer;on 2000-02-29;R-help;February 2000
If you give people a linear model function you give them something dangerous.;John Fox;NA;useR! 2004, Vienna;May 2004
To paraphrase provocatively, `machine learning is statistics minus any checking of models and assumptions'.;Brian D. Ripley;about the difference between machine learning and statistics;useR! 2004, Vienna;May 2004
"The documentation level of R is already much higher than average for open source software and even than some commercial packages (esp. SPSS is notorious for its attitude of ""You want to do one of these things. If you don't understand what the output means, click help and we'll pop up five lines of mumbo-jumbo that you're not going to understand either."")";Peter Dalgaard;NA;R-help;April 2002
Can one be a good data analyst without being a half-good programmer? The short answer to that is, `No.' The long answer to that is, `No.';Frank Harrell;NA;1999 S-PLUS User Conference, New Orleans;October 1999
For the S system, which has forever altered the way people analyze, visualize, and manipulate data .... S is an elegant, widely accepted, and enduring software system, with conceptual integrity, thanks to the insight, taste, and effort of John Chambers.;Association for Computing Machinery;NA;ACM/Software System Award citation;1998
Some of us feel that type III sum of squares and so-called ls-means are statistical nonsense which should have been left in SAS.;Brian D. Ripley;NA;s-news;May 1999
"I'm really curious to know why the ""two types"" of sum of squares are called ""Type I"" and ""Type III""! This is a very common misconception, particularly among SAS users who have been fed this nonsense quite often for all their professional lives. Fortunately the reality is much simpler. There is, by any sensible reckoning, only ONE type of sum of squares, and it always represents an improvement sum of squares of the outer (or alternative) model over the inner (or null hypothesis) model. What the SAS highly dubious classification of sums of squares does is to encourage users to concentrate on the null hypothesis model and to forget about the alternative. This is always a very bad idea and not surprisingly it can lead to nonsensical tests, as in the test it provides for main effects ""even in the presence of interactions"", something which beggars definition, let alone belief.";Bill Venables;NA;R-help;November 2000
"I was profoundly disappointed when I saw that S-PLUS 4.5 now provides ""Type III"" sums of squares as a routine option for the summary method for aov objects. I note that it is not yet available for multistratum models, although this has all the hallmarks of an oversight (that is, a bug) rather than common sense seeing the light of day. When the decision was being taken of whether to include this feature, ""because the FDA requires it"" a few of my colleagues and I were consulted and our reply was unhesitatingly a clear and unequivocal ""No"", but it seems the FDA and SAS speak louder and we were clearly outvoted.";Bill Venables;NA;`Exegeses on Linear Models' paper;May 2000
SAS seems to be to statistical computing what Microsoft is to personal computing.;Bill Venables;NA;`Exegeses on Linear Models' paper;May 2000
Zhu Wang: I am trying to create a library which uses some Fortran source files [...]<x>Douglas Bates: Someone named Martin Maechler will shortly be sending you email regarding the distinction between 'library' and 'package' :-);Zhu Wang and Douglas Bates;NA;R-help;May 2004
Let's not kid ourselves: the most widely used piece of software for statistics is Excel.;Brian D. Ripley;`Statistical Methods Need Software: A View of Statistical Computing';Opening lecture RSS 2002, Plymouth;September 2002
"John Miller: How do I prevent google search to post my questions asked here??<x>Martin Maechler: you don't: R-help is famous and celebrity can't be gotten rid off ;-)";John Miller and Martin Maechler;NA;R-help;June 2004
I use R. My company benefits from it. My clients benefit from it.<x>...and I sleep just fine (when I do sleep)... :-);Marc Schwartz, Medanalytics;about the `costs' of free software;R-help;June 2004
Please bear with a poor newbee, who might be doing everything backwards (I was brought up in pure math).;Thomas Poulsen;NA;R-help;May 2004
1st mail: One of the reasons that SAM is popular, is that it is popular (i.e. since everyone has heard of it, it makes reviewers happy). So, it would be nice to be able to point to publications in good journals so that reviewers will be comfortable. (I personally, am quite comfortable with SAM).<x>2nd mail: Oops, must have been a Freudian slip. Actually, I am not perfectly comfortable with SAM. But I am quite comfortable with limma.;Naomi Altman;answering the question whether anyone had published data using limma for microarray analysis;bioconductor;June 2004
However, if you want to do this at all efficiently for a data frame, start with my solution not Uwe's [...];Brian D. Ripley;in a second reply to a question related to data frame manipulations;R-help;June 2004
"/* some real insanity to keep Duncan sane */";Luke Tierney;NA;in src/main/context.c;June 2001
Roger D. Peng: I don't think anyone actually believes that R is designed to make *everyone* happy. For me, R does about 99% of the things I need to do, but sadly, when I need to order a pizza, I still have to pick up the telephone.<x>Douglas Bates: There are several chains of pizzerias in the U.S. that provide for Internet-based ordering (e.g. www.papajohnsonline.com) so, with the Internet modules in R, it's only a matter of time before you will have a pizza-ordering function available.<x>Brian D. Ripley: Indeed, the GraphApp toolkit (used for the RGui interface under R for Windows, but Guido forgot to include it) provides one (for use in Sydney, Australia, we presume as that is where the GraphApp author hails from). Alternatively, a Padovian has no need of ordering pizzas with both home and neighbourhood restaurants ....;Roger D. Peng, Douglas Bates and Brian D. Ripley;NA;R-help;June 2004
Uwe Ligges: Please stop sending unsensible bug reports! Those have to be handled manually in the bug repository!<x>Barry Rowlingson: Really? They seem to be being handled automatically and frighteningly well by the Uwe-bot at the moment. Congratulations, you've passed the Turing Test.;Uwe Ligges and Barry Rowlingson;after several nonsensical mails to R-bugs;R-devel;July 2004
Soon, they'll be speaking R on the subway.;Michael Rennie;giving `Kudos to the R support team';R-help;July 2004
Ted Harding: But you can also do these with 'any' and 'all', e.g. any(v==TRUE).<x>Thomas Lumley: or any( (v==TRUE)==TRUE), or any( ((v==TRUE)==TRUE)==TRUE)... Or, perhaps, any(v). Lewis Carroll wrote a nice piece on this theme.;Ted Harding and Thomas Lumley;about implementing an `or' of a logical vector;R-help;August 2004
Benjamin Lloyd-Hughes: Has anyone had any joy getting the rgdal package to compile under windows?<x>Roger Bivand: The closest anyone has got so far is Hisaji Ono, who used MSYS (http://www.mingw.org/) to build PROJ.4 and GDAL (GDAL depends on PROJ.4, PROJ.4 needs a PATH to metadata files for projection and transformation), and then hand-pasted the paths to the GDAL headers and library into src/Makevars, running Rcmd INSTALL rgdal at the Windows command prompt as usual. All of this can be repeated, but is not portable, and does not suit the very valuable standard binary package build system for Windows. Roughly: [points 1 to 5 etc omitted]<x>Barry Rowlingson: At some point the complexity of installing things like this for Windows will cross the complexity of installing Linux... (PS excepting live-Linux installs like Knoppix);Benjamin Lloyd-Hughes, Roger Bivand and Barry Rowlingson;NA;R-help;August 2004
So good advice here is: Beware of good advice about this. (Of course, I may just be an outlier ...);Berton Gunter;replying to the question what the best way to detect an outlier is;R-help;September 2004
Gabor Grothendieck: Congratulations to the R team and all involved for reaching the 2.0.0 milestone. The progress of R is truly astounding.<x>Barry Rowlingson: A milestone is something that tells you how far it is to where you are going. With R-2.0.0, have we arrived?<x>Peter Dalgaard: Depending on direction, milestones might only be telling you how far you've gone. And you may even be walking in circles around the target/origin...;Gabor Grothendieck, Barry Rowlingson and Peter Dalgaard;NA;R-help;October 2004
So it ***do not refuse*** to read the data. I do not expect some dwarf climbs out from your computer and says he will not read your data. Or is he?<x>?read.table gives you more details about how to read some data.;Petr Pikal;after a post that said read.table() refuses to read unbalanced data;R-help;October 2004
These road distances seem to be very non-Euclidean indeed (even non-metric). It seems to be 2282km from Athens to Milan if you go directly, but if you go via Rome it is only 1403km. I thought that World is non-Euclidean, but not that obviously.;Jari Oksanen;on the eurodist data;R-help;October 2004
Eric Lecoutre: I don't want to die being idiot...<x>Peter Dalgaard: With age, most of us come to realise that that is the only possible outcome.;Eric Lecoutre and Peter Dalgaard;NA;R-help;October 2004
Morten Welinder: The result changes 70000 orders of magnitude right here. Ugh. This is affecting some erlang calculations of mine pretty badly.<x>Peter Dalgaard: Make that 30400 orders of magnitude (natural logs y'know)... On something that's about 300000 orders of magnitude below 1, mind you! What the devil are you calculating? The probability that a random configuration of atoms would make up the known universe?;Morten Welinder and Peter Dalgaard;reporting a pgamma discontinuity;R-devel;October 2004
Firstly, don't call your matrix 'matrix'. Would you call your dog 'dog'? Anyway, it might clash with the function 'matrix'.;Barry Rowlingson;NA;R-help;October 2004
R is the lingua franca of statistical research. Work in all other languages should be discouraged.;Jan de Leeuw;as quoted by Matt Pocernich on R-help;JSM 2003, San Francisco;August 2003
Amer Siddique: looking for some thoughts on incorporating R functionality to create histograms of data stored in an informix db. im gonna write the app in .Net and will use a managed provider to access the data. what R libs might I have to package in the assemblies? (sorry my Q is general as Ive only just looked at wanting this yet)<x>Brian D. Ripley: Could you translate the question into English? My guess is that you are writing in a lower-cased version of some Microsoft internal language, but you don't even mention that this is for Windows (if it is).;Amer Siddique and Brian D. Ripley;on using R in .NET apps;R-help;November 2004
Tony Plate: It is the prerogative of the members of R-core to decide whether to spend their time on improving documentation or improving the functionality (or merely having a life).<x>Patrick Burns: I thought we had agreed that members of R-core are not allowed lives.;Tony Plate and Patrick Burns;in a thread about how to improve the documentation of R functions;R-devel;November 2004
Obviously I have not tested on an Alphabc...tuvwxyz system but it should work there.;Brian D. Ripley;after fixing a problem discovered when compiling R 2.0.0 on Linux Alpha;R-devel;October 2004
Lars Strand: Will R run under Windows Pocket PC?<x>Brian D. Ripley: We don't know! There are no binary versions of R for that platform, but perhaps you could find a suitable compiler and manage to build the sources.<x>Outside pure mathematics it is usually very hard to establish that something cannot be done (and it can be very hard in pure mathematics, too).;Lars Strand and Brian D. Ripley;NA;R-help;November 2004
It [the effort of learning how to use R] is the price paid, just as the dollars or euros for a commercial package would be. For that price, I've learnt a great deal - and not only about R. And I shall remember it when I next have to find a heavyweight solution for a big problem presented by a small charitable client with an invisible budget. It's a huge, awe-inspiring package - easier to perceive as such because the power is not hidden beneath a cosmetic veneer.;Felix Grant;in an article about free statistics software;Scientific Computing World;November 2004
There are companies whose yearly license fees to SAS total millions of dollars. Then those companies hire armies of SAS programmers to program an archaic macro language using old statistical methods to produce ugly tables and the worst graphics in the statistical software world.;Frank Harrell;NA;R-help;November 2004
I believe functions should do what they say on the box (and the help page), and not what some user hopes they might do by mind-reading.;Brian D. Ripley;NA;R-help;November 2004
Thomas Lumley: The algorithm in glm.fit, while not perfect, is a little smarter than a simple IRLS. It uses step-halving to back away from the edge, and when the parameter space is convex it has a reasonable chance of creeping along the boundary to the true MLE.<x>Peter Dalgaard: Hmm. That wasn't my experience. I had a situation where there was like a (virtual) maximum outside the boundary, and the algorithm would basically stay on the path to that peak, banging its little head into the same point of the wall repeatedly, so to speak.;Thomas Lumley and Peter Dalgaard;"about problems with constrained optimzation in GLMs and ""the little optimizer that couldn't""";R-help;November 2004
Getting flamed for asking dumb questions on a public mailing list is all part of growing up and being a man/woman.;Michael Watson;in a discussion on whether answers on R-help should be more polite;R-help;December 2004
"You may have not been long enough on this list to see that some of the old-time gurus have reached a demigod like status. Demigods have all rights to be `rude' (that's almost a definition of a demi-deity).";Jari Oksanen;in a discussion on whether answers on R-help should be more polite;R-help;December 2004
Suggesting a Usenet newsgroup is a generation thing. I think some of the younger users would prefer a Wiki or a Forum (these are words I've seen, but I wouldn't visit places like this, talking about my g-g-generation).;Jari Oksanen;NA;R-help;December 2004
Our great-great grandchildren as yet unborn may read some of the stupid questions and/or answers that I and perhaps others give from time to time. I'd rather get flamed for saying something stupid in public on this list than to continue to provide substandard service to the people with whom I work because I perpetrated the same mistake in an environment in which no one questioned so effectively my errors.;Spencer Graves;in a discussion on whether answers on R-help should be more polite;R-help;December 2004
Robin Hankin: I'd say that without a tool like R you cannot learn statistics.<x>David Whiting: I believe Fisher and a few others managed to get by without it.<x>Peter Dalgaard: But think how far they could have got with R!;Robin Hankin, David Whiting and Peter Dalgaard;on teaching/learning statistics with R;R-help;December 2004
If you don't go with R now, you will someday.;David Kane;on whether to use R or S-PLUS;R-SIG-Finance;November 2004
Patrick Burns: In the old days with S-PLUS, the rule of thumb was that you needed 10 times as much memory as your dataset. [...] R (and current versions of S-PLUS) are more frugal than S-PLUS was back then.<x>Ajay Shah: Hmm, so it'd be interesting to apply current prices of RAM and current prices of R, to work out the break-even point at which it's better to buy SAS! :-) Without making any calculations, I can't see how SAS can compete with the price of 4G of RAM.;Patrick Burns and Ajay Shah;on whether to use R, S-PLUS or SAS;R-SIG-Finance;December 2004
I have never heard anyone (knowledgable or otherwise) claim that, in the absence of transition costs, SAS is better than R for equity modeling. If you come across any such claim, I would be happy to refute it.;David Kane;NA;R-SIG-Finance;December 2004
Will Frank Harrell or someone else please explain to me a real application in which this is not fast enough?;Brian D. Ripley;announcing improved versions of read.table and write.table;R-devel;December 2004
Achim Zeileis: Other visualizations of departures from indepence include mosaicplots with shading or association plots. See mosaicplot() and assocplot() and the package vcd.<x>Peter Dalgaard: I see that you've taken initive to abbriate statiscal concepts...;Achim Zeileis and Peter Dalgaard;NA;R-help;January 2005
Also, that's what Martin Maechler told me and he wrote the code so I trust him on that. I figure that if you have to trust someone to be meticulous and precise then a German-speaking Swiss is a good choice.;Douglas Bates;NA;R-help;January 2005
Paul Gilbert: [code comparing speed of apply(z,2,sum) vs. rep(1,10000)%*%z)] which seemed completely contrary to all my childhood teachings.<x>Douglas Bates: Must have had an interesting childhood if you spent it learning about the speeds of various matrix multiplication techniques.<x>Paul Gilbert: [...] why is apply so slow?<x>Brian Ripley: `so slow' sic: what are you going to do in the 7ms you saved?;Paul Gilbert, Douglas Bates and Brian D. Ripley;discussing `the incredible lightness of crossprod';R-devel;January 2005
Well, if I had written that, it would have been on purpose ...;Kurt Hornik;after Torsten Hothorn reported the `typo' automa*g*ically in ?NotYetImplemented;R-devel;January 2005
I'm not sure I'd trust any computer recommendation from 1976, no matter how famous the authors are.;Peter Dalgaard;after Samuel Edward Kemp cited a recommendation about nonlinear least squares computer programs from `Box-Jenkins, 1976';R-help;January 2005
Marc R. Feldesman: I'm trying to figure out what could have possibly changed [...] that make Brian Ripley's posts (in particular) not show up on my mail server [...]<x>Peter Dalgaard: Did you remember to turn off the Oxford-sarcasm filter?;Marc R. Feldesman and Peter Dalgaard;Marc R. Feldesman having some e-mail problems;R-help;January 2005
Mingzhai Sun: When you use it [R], since it is written by so many authors, how do you know that the results are trustable?<x>Bill Venables: The R engine [...] is pretty well uniformly excellent code but you have to take my word for that. Actually, you don't. The whole engine is open source so, if you wish, you can check every line of it. If people were out to push dodgy software, this is not the way they'd go about it.;Mingzhai Sun and Bill Venables;NA;R-help;January 2004
Jesus and the rest of the R-help community: Thanks for your help.;Mike Saunders;after Jesus Frias answered his question about split-split plots;R-help;February 2005
Pavel Khomski: How can I specify the random part in the GLMM-call (of the lme4 library) for compound matrices just in the the same way as they defined in the lme-Call (of the nlme library).<x>Martin Maechler: ``twice in such a short paragraph -- yikes !!'' ... I'm getting convulsive...;Pavel Khomski and Martin Maechler;NA;R-help;February 2005
A sufficiently trained statistician can read the vagaries of a Q-Q plot like a shaman can read a chicken's entrails, with a similar recourse to scientific principles. Interpreting Q-Q plots is more a visceral than an intellectual exercise. The uninitiated are often mystified by the process. Experience is the key here.;Department of Mathematics and Statistics, Murdoch University;NA;StatsNotes;NA
If the answer is parse() you should usually rethink the question.;Thomas Lumley;NA;R-help;February 2005
Just now I had an apparently insurmountable problem that's been bugging me for days, but phrasing my question in a form suitable for the R-help list enabled me to solve my own problem in two minutes flat.<x>Thanks everyone.;Robin Hankin;NA;R-help;March 2005
Actually, I see it as part of my job to inflict R on people who are perfectly happy to have never heard of it. Happiness doesn't equal proficient and efficient. In some cases the proficiency of a person serves a greater good than their momentary happiness.;Patrick Burns;NA;R-help;April 2005
Evelyn Hall: I would like to know how (if) I can extract some of the information from the summary of my nlme.<x>Simon Blomberg: This is R. There is no if. Only how.;Evelyn Hall and Simon `Yoda' Blomberg;NA;R-help;April 2005
Tradition among experienced S programmers has always been that loops (typically `for' loops) are intrinsically inefficient: expressing computations without loops has provided a measure of entry into the inner circle of S programming.;John Chambers;NA;Programming With Data, p. 173;1998
You can't expect statistical procedures to rescue you from poor data.;Berton Gunter;on dealing with missing values in a cluster analysis;R-help;April 2005
"I think we can reject the null hypothesis of ""Dirk can type"" at all conventual significance levels.";Dirk Eddelbuettel;after several users including himself had misspelled Ubuntu as Umbutu or Ubunto;R-help;April 2005
"The problem, as always, is what the heck does one mean by `outlier' in these contexts. Seems to be like pornography -- ""I know it when I see it.""";Berton Gunter;quoting Justice Potter Stewart in a discussion about tests for outliers;R-help;April 2005
[...] (damn... my shift key just broke as well...)<x>bill venables.;Bill Venables;answering a message that lacked upper case letters;R-help;April 2005
It is a mistake to assume that everything is known about even the common approximations used in statistical practice, and this area is still opening up.;Bill Venables;in a discussion about how fitted generalized linear mixed models can be compared;R-help;April 2005
"We are teaching stuff like mathematics, statistics, statistical programming and so on, but we cannot teach each possible software product - we also don't teach how to analyze each possible dataset that might find its way to the statistician's desk, we just use the iris data and Anscombe's quartet. ;-)";Uwe Ligges;in a thread about whether universities have to teach students how to use commercial software;R-help;April 2005
Usually (but not always) doing tests of normality reflect a lack of understanding of the power of rank tests, and an assumption of high power for the tests (qq plots don't always help with that because of their subjectivity). When possible it's good to choose a robust method. Also, doing pre-testing for normality can affect the type I error of the overall analysis.;Frank Harrell;NA;R-help;April 2005
As for elegance, R is refined, tasteful, and beautiful. When I grow up, I want to marry R.;Andy Bunn;in a discussion about whether R is simple, powerful and elegant;R-help;May 2005
Frank Harrell: Here is an easy approach that will yield results only slightly less valid than one actually using the response variable:<x>  x <- data.frame(x1, x2, x3, x4, ..., other potential predictors)<x>  x[ , sample(ncol(x))]<x>Andy Liaw: Hmm... Shouldn't that be something like:<x>  x[, sample(ncol(x), ceiling(ncol(x) * runif(1)))];Frank Harrell and Andy Liaw;"about alternative strategies for stepwise regression and `random parsimony'";R-help;May 2005
Rene M. Raupp: Does anybody know any work comparing R with other (charged) statistical software (like Minitab, SPSS, SAS)? [...] I have to show it's as good as the others.<x>Kjetil Brinchmann Halvorsen: Sorry. That will be difficult. Couldn't it do to prove it is better?;Rene M. Raupp and Kjetil Brinchmann Halvorsen;NA;R-help;May 2005
Sean Davis: It got me going quickly with S4 methods, which it seems to me are the way to go in most cases.<x>Rolf Turner: If you want to simultaneously handcuff yourself, strap yourself into a strait jacket, and tie yourself in knots, and moreover write code which is incomprehensible to the human mind, then S4 methods are indeed the way to go.;Sean Davis and Rolf Turner;expressing different views about the benefits of S4 classes;R-help;May 2005
I wish to perform brain surgery this afternoon at 4pm and don't know where to start. My background is the history of great statistician sports legends but I am willing to learn. I know there are courses and numerous books on brain surgery but I don't have the time for those. Please direct me to the appropriate HowTos, and be on standby for solving any problem I may encounter while in the operating room. Some of you might ask for specifics of the case, but that would require my following the posting guide and spending even more time than I am already taking to write this note.;I. Ben Fooled;aka Frank Harrell;R-help;April 1, 2005
You're overlooking something like line 800 of the documentation for xyplot. [...] It's probably in the R-FAQ as well, since my original feeling was that this behaviour was chosen in order to confuse people and see how many people read the FAQ... :);Barry Rowlingson;about the fact that lattice objects have to be print()ed;R-help;May 2005
Rolf Turner: In the middle of a Saturday morning (in my Time Zone!) I send out a plea for help, and in just over 20 minutes my problem is solved!<x>I don't think you get service like that anywhere else. This R-help list is BLOODY AMAZING!<x>Spencer Graves: 'The sun never sets on the (former) British Empire.' Today, it never sets on R-Help.;Rolf Turner and Spencer Graves;NA;R-help;May 2005
"As a general rule (subject to numerous exceptions, caveats, etc.):<x>1) it is programming and debugging time that most impacts `overall' program execution time;<x>2) this is most strongly impacted by code readability and size (the smaller the better);<x>3) both of which are enhanced by modular construction and reuseability, which argues for avoiding inline code and using separate functions.<x>These days, I would argue that most of the time it is program clarity and correctness (they are related) that is the important issue, not execution speed.";Berton Gunter;in a discussion about parsing speed;R-help;May 2005
